epoch,accuracy,loss,val_accuracy,val_loss
0,0.40222498774528503,1.6980788707733154,0.5228999853134155,1.3869550228118896
1,0.5289250016212463,1.3614866733551025,0.5831000208854675,1.2261905670166016
2,0.5777249932289124,1.2316840887069702,0.6161999702453613,1.147208333015442
3,0.6073499917984009,1.1598869562149048,0.6395000219345093,1.0875718593597412
4,0.6243000030517578,1.1091957092285156,0.6521000266075134,1.0564080476760864
5,0.6384999752044678,1.074037790298462,0.6643000245094299,1.0090813636779785
6,0.6493499875068665,1.0456629991531372,0.6664999723434448,1.0051101446151733
7,0.6570500135421753,1.0232008695602417,0.6790000200271606,0.9712769389152527
8,0.6627749800682068,1.0033743381500244,0.6782000064849854,0.9690459966659546
9,0.6722249984741211,0.9834631681442261,0.6859999895095825,0.947854220867157
10,0.6744250059127808,0.9752062559127808,0.6832000017166138,0.941047191619873
11,0.6780499815940857,0.960390031337738,0.6974999904632568,0.9264701008796692
12,0.6852250099182129,0.9518800973892212,0.697700023651123,0.9165224432945251
13,0.6895250082015991,0.9361176490783691,0.7009000182151794,0.9086650609970093
14,0.6887249946594238,0.931381344795227,0.7056000232696533,0.901199996471405
15,0.6958500146865845,0.9185763597488403,0.7009000182151794,0.9094843864440918
16,0.6969500184059143,0.9092172980308533,0.7017999887466431,0.8964552879333496
17,0.6996999979019165,0.9093889594078064,0.7096999883651733,0.8872960209846497
18,0.7009000182151794,0.900725781917572,0.7080000042915344,0.8818836212158203
19,0.7018250226974487,0.8933611512184143,0.7146000266075134,0.8772087693214417
