epoch,accuracy,loss,val_accuracy,val_loss
0,0.35292500257492065,1.827867031097412,0.5084999799728394,1.5390119552612305
1,0.4847249984741211,1.4788583517074585,0.5630000233650208,1.3468658924102783
2,0.5439749956130981,1.3354852199554443,0.6089000105857849,1.2265998125076294
3,0.5835750102996826,1.2361977100372314,0.5929999947547913,1.237088680267334
4,0.6084750294685364,1.1704912185668945,0.6053000092506409,1.2060295343399048
5,0.6290249824523926,1.1172633171081543,0.6603000164031982,1.05617094039917
6,0.6433749794960022,1.080330491065979,0.6725999712944031,1.0561224222183228
7,0.6554499864578247,1.0432828664779663,0.6844000220298767,1.0091608762741089
8,0.6682500243186951,1.0174978971481323,0.6940000057220459,0.983033299446106
9,0.6746500134468079,0.9947084188461304,0.6887999773025513,0.9970397353172302
10,0.6871749758720398,0.9702261686325073,0.722100019454956,0.9320672154426575
11,0.6891499757766724,0.9572146534919739,0.694599986076355,0.9455932378768921
12,0.6962000131607056,0.9387930631637573,0.7358999848365784,0.8985453844070435
13,0.6994749903678894,0.9283273220062256,0.7092000246047974,0.9144596457481384
14,0.7028999924659729,0.9181400537490845,0.7142999768257141,0.9371601343154907
15,0.7103000283241272,0.904280960559845,0.7296000123023987,0.8908382654190063
16,0.7149500250816345,0.891746997833252,0.7350000143051147,0.9006397724151611
17,0.7182999849319458,0.8880792260169983,0.7366999983787537,0.850731372833252
18,0.7170000076293945,0.8776468634605408,0.7439000010490417,0.859419047832489
19,0.7187250256538391,0.8760001063346863,0.7508999705314636,0.8836733102798462
