epoch,accuracy,loss,val_accuracy,val_loss
0,0.3859499990940094,1.7238011360168457,0.49869999289512634,1.4591460227966309
1,0.5005000233650208,1.4034093618392944,0.5328999757766724,1.3454283475875854
2,0.5444750189781189,1.2938804626464844,0.5702000260353088,1.238646388053894
3,0.5691999793052673,1.2243874073028564,0.5900999903678894,1.1913951635360718
4,0.5886750221252441,1.1753337383270264,0.6028000116348267,1.1503266096115112
5,0.607200026512146,1.1246165037155151,0.6144999861717224,1.1207002401351929
6,0.619825005531311,1.0920909643173218,0.6122000217437744,1.1141247749328613
7,0.6356499791145325,1.0546326637268066,0.6381000280380249,1.0553622245788574
8,0.644474983215332,1.0285851955413818,0.6402000188827515,1.0358322858810425
9,0.6514000296592712,1.0053459405899048,0.6539000272750854,1.0184128284454346
10,0.6601750254631042,0.9804540872573853,0.6496999859809875,1.0113720893859863
11,0.6644750237464905,0.9647551774978638,0.6644999980926514,0.9846813678741455
12,0.6725999712944031,0.9470021724700928,0.6686999797821045,0.966052234172821
13,0.6778749823570251,0.927741289138794,0.673799991607666,0.9657077193260193
14,0.6808000206947327,0.9206022620201111,0.6740999817848206,0.9512577056884766
15,0.6855999827384949,0.9071676731109619,0.6758000254631042,0.9486807584762573
16,0.6888250112533569,0.8996008038520813,0.6797000169754028,0.9467703104019165
17,0.6922249794006348,0.8884232640266418,0.6772000193595886,0.9481080174446106
18,0.6958000063896179,0.8741387724876404,0.6832000017166138,0.9326412081718445
19,0.6974499821662903,0.8671524524688721,0.6811000108718872,0.9336196184158325
