epoch,accuracy,loss,train_acc,train_loss,val_accuracy,val_loss
0,0.2696250081062317,1.9947136640548706,0.3513000011444092,1.7984567880630493,0.3434000015258789,1.8192472457885742
1,0.3183499872684479,1.8625338077545166,0.35089999437332153,1.763853669166565,0.34529998898506165,1.793962836265564
2,0.33377501368522644,1.8213951587677002,0.3738499879837036,1.746095061302185,0.3596000075340271,1.775852918624878
3,0.3510499894618988,1.7871794700622559,0.39787501096725464,1.7048015594482422,0.3846000134944916,1.7377896308898926
4,0.35339999198913574,1.7711619138717651,0.39762499928474426,1.6871922016143799,0.3822999894618988,1.7227991819381714
5,0.36502501368522644,1.7481313943862915,0.41339999437332153,1.647729516029358,0.3984000086784363,1.690653681755066
6,0.37037500739097595,1.7373777627944946,0.42054998874664307,1.629413366317749,0.4059000015258789,1.6738275289535522
7,0.3736000061035156,1.7178428173065186,0.40195000171661377,1.6580445766448975,0.383899986743927,1.7015677690505981
8,0.384674996137619,1.7059253454208374,0.43939998745918274,1.5988521575927734,0.42250001430511475,1.6442657709121704
9,0.3862749934196472,1.6944767236709595,0.4449000060558319,1.5961058139801025,0.4291999936103821,1.6465462446212769
10,0.38417500257492065,1.6915701627731323,0.4416249990463257,1.5743341445922852,0.42179998755455017,1.6357225179672241
11,0.38987499475479126,1.6829599142074585,0.4417000114917755,1.5706340074539185,0.421999990940094,1.6328136920928955
12,0.39317500591278076,1.6753278970718384,0.4411250054836273,1.5616651773452759,0.4221000075340271,1.616218090057373
13,0.39697501063346863,1.6647744178771973,0.44429999589920044,1.5666033029556274,0.42089998722076416,1.627482533454895
14,0.3978999853134155,1.6643956899642944,0.44885000586509705,1.561593770980835,0.42829999327659607,1.6280715465545654
15,0.40082499384880066,1.6490343809127808,0.4541749954223633,1.5477691888809204,0.42750000953674316,1.6133743524551392
16,0.40242499113082886,1.6509199142456055,0.4665749967098236,1.5435006618499756,0.4413999915122986,1.6103405952453613
17,0.41087499260902405,1.634351372718811,0.4557749927043915,1.5407544374465942,0.4296000003814697,1.6084946393966675
18,0.40959998965263367,1.62785804271698,0.4619249999523163,1.531758189201355,0.4293999969959259,1.6048705577850342
19,0.4145500063896179,1.6266179084777832,0.4693000018596649,1.5155969858169556,0.4341000020503998,1.5919005870819092
